version,release_date,feature_name,category,models,hardware,description
2023.26.10,"August 23, 2023",Full Self-Driving (Beta) Suspension,New Feature,,,
2023.26.10,"August 23, 2023",Blind Spot Camera,New Feature,,,
2023.26.10,"August 23, 2023",Customize the Scroll Wheel,New Feature,,,
2023.26.10,"August 23, 2023",Destination Closing Soon,New Feature,,,
2023.26.10,"August 23, 2023",Spotify Refresh,New Feature,,,
2023.26.10,"August 23, 2023",Bluetooth Game Controllers,New Feature,,,
2023.26.10,"August 23, 2023",Warmer Display Colors,New Feature,,,
2023.26.10,"August 23, 2023",Automatic Headlights,New Feature,,,
2023.26.10,"August 23, 2023",Charge On Solar,New Feature,,,
2023.26.10,"August 23, 2023",Camera View on Tesla App,New Feature,,,
2023.26.10,"August 23, 2023",Vampire Survivors Game,New Feature,,,
2023.26.10,"August 23, 2023",Other Updates,New Feature,,,
2023.26.10,"August 23, 2023",Improved Phone Calls,Undocumented Change,,,
2023.26.10,"August 23, 2023",Service Mode Improvements,Undocumented Change,,,
2023.26.10,"August 23, 2023",Supercharging Details,Undocumented Change,,,
2023.26.10,"August 23, 2023",Automatic Navigation Improvements,Undocumented Change,,,
2023.26.10,"August 23, 2023",Updated Apps Badge,Undocumented Change,,,
2023.26.10,"August 23, 2023",Daily Charge Limit,Undocumented Change,,,
2023.26.10,"August 23, 2023",Updated Manual App,Undocumented Change,,,
2023.31.600,"October 27, 2023",Drowsiness Warning,Undocumented Change,,,
2023.31.600,"October 27, 2023",Minor Fixes,New Feature,,,
2023.32,"August 27, 2023",Detailed Intersection View,New Feature,,,
2023.32,"August 27, 2023",Hebrew Language Added,New Feature,,,
2023.32,"August 27, 2023",Improved Autopilot Visualizations,Undocumented Change,,,
2023.32,"August 27, 2023",Improved Reverse Camera View,Undocumented Change,,,
2023.32,"August 27, 2023",Service Mode Release Notes,Undocumented Change,,,
2023.32,"August 27, 2023",Improved Camera Clarity,Undocumented Change,,,
2023.32,"August 27, 2023",Service Mode ECU Status,Undocumented Change,,,
2023.32,"August 27, 2023",Volume Indicator,Undocumented Change,,,
2023.32.4,"September 11, 2023",Detailed Intersection View,New Feature,,,
2023.32.4,"September 11, 2023",Hebrew Language Added,New Feature,,,
2023.32.4,"September 11, 2023",FSD Beta v11.4.4,New Feature,,,
2023.32.4,"September 11, 2023",Improved Autopilot Visualizations,Undocumented Change,,,
2023.32.4,"September 11, 2023",Improved Reverse Camera View,Undocumented Change,,,
2023.32.4,"September 11, 2023",Service Mode Release Notes,Undocumented Change,,,
2023.32.4,"September 11, 2023",Improved Camera Clarity,Undocumented Change,,,
2023.32.4,"September 11, 2023",Service Mode ECU Status,Undocumented Change,,,
2023.32.4,"September 11, 2023",Volume Indicator,Undocumented Change,,,
2023.38,"October 3, 2023",Faster Hazard Lights After a Crash,New Feature,,,
2023.38,"October 3, 2023",Predictive Charger Availability,New Feature,,,
2023.38,"October 3, 2023",Multiplayer Vampire Survivors,New Feature,,,
2023.38,"October 3, 2023",Location Sharing,New Feature,,,
2023.38,"October 3, 2023",Windows During Update,New Feature,,,
2023.38,"October 3, 2023",Improvements to Service Mode,New Feature,,,
2023.38,"October 3, 2023",New Privacy Options,Undocumented Change,,,
2023.38.8,"November 12, 2023",Rear Passenger Headphones,New Feature,,,
2023.38.8,"November 12, 2023",Faster Hazard Lights After a Crash,New Feature,,,
2023.38.8,"November 12, 2023",Predictive Charger Availability,New Feature,,,
2023.38.8,"November 12, 2023",Multiplayer Vampire Survivors,New Feature,,,
2023.38.8,"November 12, 2023",Location Sharing,New Feature,,,
2023.38.8,"November 12, 2023",Windows During Update,New Feature,,,
2023.38.8,"November 12, 2023",Improvements to Service Mode,New Feature,,,
2023.38.8,"November 12, 2023",Single-Tap Autopilot Activation,Undocumented Change,,,
2023.38.8,"November 12, 2023",New Privacy Options,Undocumented Change,,,
2023.44,"November 17, 2023",Single Pull to Start Autopilot,New Feature,,,
2023.44,"November 17, 2023",Speed Assist,New Feature,,,
2023.44,"November 17, 2023",Destination Charging Availability,New Feature,,,
2023.44,"November 17, 2023",Radio Favorites,Undocumented Change,,,
2023.44,"November 17, 2023",Messages App,Undocumented Change,,,
2023.44,"November 17, 2023",Calendar App,Undocumented Change,,,
2023.44,"November 17, 2023",All Apps Menu,Undocumented Change,,,
2023.44,"November 17, 2023",Service Mode Improvements,New Feature,,,
2023.44.25,"December 6, 2023",Over-the-Air (OTA) Recall,New Feature,,,
2023.44.25,"December 6, 2023",Autopilot Suspension,New Feature,,,
2023.44.25,"December 6, 2023",FSD Beta 11.4.9,New Feature,,,
2023.44.25,"December 6, 2023",Cabin Camera,New Feature,,,
2023.44.25,"December 6, 2023",Alternate Routes While Driving,New Feature,,,
2023.44.25,"December 6, 2023",Custom Lock Sounds,New Feature,,,
2023.44.25,"December 6, 2023",Park Assist Upgrade,New Feature,,,
2023.44.25,"December 6, 2023",Castle Doombad Game,New Feature,,,
2023.44.25,"December 6, 2023",Play Games on Rear Screen,New Feature,,,
2023.44.25,"December 6, 2023",Apple Podcasts,New Feature,,,
2023.44.25,"December 6, 2023",Rear Passenger Headphones,New Feature,,,
2023.44.25,"December 6, 2023",Tesla Arcade Updates,New Feature,,,
2023.44.25,"December 6, 2023",Automatic 911 Calls,New Feature,,,
2023.44.25,"December 6, 2023",Speed Cameras on Your Route,New Feature,,,
2023.44.25,"December 6, 2023",Trip Planner on Mobile App,New Feature,,,
2023.44.25,"December 6, 2023",More Cameras in Live Camera View,New Feature,,,
2023.44.25,"December 6, 2023",Automatic Blind Spot Camera,New Feature,,,
2023.44.25,"December 6, 2023",Light Show,New Feature,,,
2023.44.25,"December 6, 2023",Minor Updates,New Feature,,,
2023.44.25,"December 6, 2023",Cabin Camera,New Feature,,,
2023.44.25,"December 6, 2023",Improved Transition to Cellular,Undocumented Change,,,
2023.44.25,"December 6, 2023",Improved Reverse Functions,Undocumented Change,,,
2023.44.25,"December 6, 2023",View Supercharger Amenities on Map,Undocumented Change,,,
2023.44.25,"December 6, 2023",Autopilot / FSD Beta Strike Reset,Undocumented Change,,,
2023.44.25,"December 6, 2023",Cabin Camera Privacy,Undocumented Change,,,
2023.44.25,"December 6, 2023",Dashcam,Undocumented Change,,,
2023.44.25,"December 6, 2023",Automatic Wipers,Undocumented Change,,,
2023.44.25,"December 6, 2023",Dashcam Viewer Improvements,Undocumented Change,,,
2023.44.25,"December 6, 2023",Tesla Theater Improvements,Undocumented Change,,,
2023.44.25,"December 6, 2023",Automatic Emergency Braking,Undocumented Change,,,
2023.44.25,"December 6, 2023",Turn Off Automatic 911 Call,Undocumented Change,,,
2023.44.30.10,"December 24, 2023",FSD Beta v12.1,New Feature,,,
2023.44.30.11,"January 12, 2024",FSD Beta v12.1.1,New Feature,,,
2023.44.30.12,"January 21, 2024",FSD Beta v12.1.2,New Feature,,,
2023.44.30.12,"January 21, 2024",Automatic Speed Offset,Undocumented Change,,,
2023.44.30.15,"February 9, 2024",FSD Beta v12.2,New Feature,,,
2023.44.30.15,"February 9, 2024",Over-the-Air Recall: Telltale Text Size,New Feature,,,
