version,release_date,fsd_version,feature_count,url
2025.32.100,"September 24, 2025",,9,https://www.notateslaapp.com/software-updates/version/2025.32.100/release-notes
2025.32.3,"September 2, 2025",FSD 12.6.4 & 13.2.9,12,https://www.notateslaapp.com/software-updates/version/2025.32.3/release-notes
2025.32.6,"September 15, 2025",FSD 12.6.4 & 13.2.9,14,https://www.notateslaapp.com/software-updates/version/2025.32.6/release-notes
2025.32.8.10,"October 16, 2025",FSD 14.1.2,20,https://www.notateslaapp.com/software-updates/version/2025.32.8.10/release-notes
2025.32.8.15,"October 20, 2025",FSD 14.1.3,20,https://www.notateslaapp.com/software-updates/version/2025.32.8.15/release-notes
2025.32.8.16,"October 25, 2025",FSD 14.1.4,20,https://www.notateslaapp.com/software-updates/version/2025.32.8.16/release-notes
2025.32.8.5,"October 7, 2025",FSD 14.1,20,https://www.notateslaapp.com/software-updates/version/2025.32.8.5/release-notes
2025.32.8.6,"October 12, 2025",FSD 14.1.1,20,https://www.notateslaapp.com/software-updates/version/2025.32.8.6/release-notes
2025.38,"October 9, 2025",FSD 12.6.4 & 13.2.9,14,https://www.notateslaapp.com/software-updates/version/2025.38/release-notes
2025.38.3,"October 10, 2025",FSD 12.6.4 & 13.2.9,16,https://www.notateslaapp.com/software-updates/version/2025.38.3/release-notes
2025.38.8.5,"November 3, 2025",FSD 14.1.5,13,https://www.notateslaapp.com/software-updates/version/2025.38.8.5/release-notes
2025.38.8.7,"November 12, 2025",FSD 14.1.7,22,https://www.notateslaapp.com/software-updates/version/2025.38.8.7/release-notes
2025.38.9.5,"November 21, 2025",FSD 14.2,22,https://www.notateslaapp.com/software-updates/version/2025.38.9.5/release-notes
2025.38.9.6,"November 27, 2025",FSD 14.2.1,22,https://www.notateslaapp.com/software-updates/version/2025.38.9.6/release-notes
2025.44,"November 16, 2025",FSD 12.6.4 & 13.2.9,5,https://www.notateslaapp.com/software-updates/version/2025.44/release-notes
2025.44.25.1,"December 8, 2025",FSD 12.6.4 & 13.2.9,34,https://www.notateslaapp.com/software-updates/version/2025.44.25.1/release-notes
2025.44.25.5,"December 13, 2025",FSD 14.2.1.25,41,https://www.notateslaapp.com/software-updates/version/2025.44.25.5/release-notes
2025.8,"March 2, 2025",FSD 12.6.4 & 13.2.8,17,https://www.notateslaapp.com/software-updates/version/2025.8/release-notes
2025.8.100,"April 11, 2025",,1,https://www.notateslaapp.com/software-updates/version/2025.8.100/release-notes
2026.2,"January 22, 2026",FSD 12.6.4 & 13.2.9,6,https://www.notateslaapp.com/software-updates/version/2026.2/release-notes
2026.2.3,"January 27, 2026",FSD 12.6.4 & 13.2.9,7,https://www.notateslaapp.com/software-updates/version/2026.2.3/release-notes
2026.2.6,"February 15, 2026",,8,https://www.notateslaapp.com/software-updates/version/2026.2.6/release-notes
2026.2.6.1,"February 23, 2026",,9,https://www.notateslaapp.com/software-updates/version/2026.2.6.1/release-notes
2026.2.6.5,"February 27, 2026",FSD 13.2.9,11,https://www.notateslaapp.com/software-updates/version/2026.2.6.5/release-notes
2026.2.9,"February 28, 2026",FSD 14.2.2.5,16,https://www.notateslaapp.com/software-updates/version/2026.2.9/release-notes
2026.8,"March 12, 2026",,7,https://www.notateslaapp.com/software-updates/version/2026.8/release-notes
2026.8.3,"March 18, 2026",,8,https://www.notateslaapp.com/software-updates/version/2026.8.3/release-notes
2026.8.6,"April 2, 2026",,8,https://www.notateslaapp.com/software-updates/version/2026.8.6/release-notes
